epoch,loss,split,n_seeds,mean_mae,min_mae,max_mae,note
29,mse,val,3,5.006681333333333,4.840852,5.099046,
30,mse,val,3,4.991167333333333,4.900247,5.101005,
31,mse,val,3,4.959639666666667,4.634351,5.229853,
32,mse,val,3,4.974417333333334,4.792413,5.207826,
33,mse,val,3,5.399541666666667,4.41991,7.09675,
34,mse,val,3,5.358428,4.861902,5.806828,
35,mse,val,3,4.751934333333334,4.456534,5.062851,
36,mse,val,3,4.916483333333333,4.474695,5.29313,
37,mse,val,3,4.7667019999999996,4.49102,4.912652,
38,mse,val,3,4.669932,4.522708,4.82605,
39,mse,val,3,4.541263666666667,4.440788,4.737792,
40,mse,val,3,4.5794706666666665,4.504898,4.648331,
41,mse,val,3,4.796985,4.711608,4.96205,
42,mse,val,3,4.926279666666666,4.46482,5.558518,
43,mse,val,3,4.750093,4.491541,4.959963,
44,mse,val,3,4.886959333333333,4.435715,5.492408,
45,mse,val,3,4.817101666666667,4.446932,5.09042,
46,mse,val,3,4.692316666666667,4.470206,5.098918,
47,mse,val,2,5.384457,5.002181,5.766733,
48,mse,val,2,4.769464,4.734625,4.804303,
49,mse,val,2,4.7117455,4.626267,4.797224,
50,mse,val,2,4.8992635,4.794837,5.00369,
51,mse,val,2,4.793796,4.72941,4.858182,
52,mse,val,2,4.8406875,4.735625,4.94575,
53,mse,val,1,4.717758,4.717758,4.717758,
54,mse,val,1,4.758629,4.758629,4.758629,
55,mse,val,1,4.783399,4.783399,4.783399,
56,mse,val,1,4.973579,4.973579,4.973579,
57,mse,val,1,4.925637,4.925637,4.925637,
58,mse,val,1,4.805732,4.805732,4.805732,
59,mse,val,1,4.800291,4.800291,4.800291,
60,mse,val,1,4.686263,4.686263,4.686263,
61,mse,val,1,4.814752,4.814752,4.814752,
62,mse,val,1,4.968828,4.968828,4.968828,
